INN_Name,Canonical_Smiles,InChiKey
Abemaciclib,CCN1CCN(CC1)Cc2ccc(nc2)Nc3ncc(c(n3)c4cc5c(c(c4)F)nc(n5C(C)C)C)F,UZWDCWONPYILKI-UHFFFAOYSA-N
Abivertinib,CN1CCN(CC1)c2ccc(cc2F)Nc3nc4c(cc[nH]4)c(n3)Oc5cccc(c5)NC(=O)C=C,UOFYSRZSLXWIQB-UHFFFAOYSA-N
Acalabrutinib,CC#CC(=O)N1CCC[C@H]1c2nc(c3n2ccnc3N)c4ccc(cc4)C(=O)Nc5ccccn5,WDENQIQQYWYTPO-IBGZPJMESA-N
Acalisib,C[C@@H](c1nc2ccc(cc2c(=O)n1c3ccccc3)F)Nc4c5c(nc[nH]5)ncn4,DOCINCLJNAXZQF-LBPRGKRZSA-N
Acumapimod,Cc1ccc(cc1n2c(c(cn2)C(=O)c3cccc(c3)C#N)N)C(=O)NC4CC4,VGUSQKZDZHAAEE-UHFFFAOYSA-N
Adavosertib,CC(C)(c1cccc(n1)n2c3c(cnc(n3)Nc4ccc(cc4)N5CCN(CC5)C)c(=O)n2CC=C)O,BKWJAKQVGHWELA-UHFFFAOYSA-N
Afatinib,CN(C)C/C=C/C(=O)Nc1cc2c(cc1O[C@H]3CCOC3)ncnc2Nc4ccc(c(c4)Cl)F,ULXXDDBFHOBEHA-CWDCEQMOSA-N
Afuresertib,Cn1c(c(cn1)Cl)c2cc(sc2Cl)C(=O)N[C@@H](Cc3cccc(c3)F)CN,AFJRDFWMXUECEW-LBPRGKRZSA-N
Alectinib,CCc1cc2c(cc1N3CCC(CC3)N4CCOCC4)C(c5c(c6ccc(cc6[nH]5)C#N)C2=O)(C)C,KDGFLJKFZUIJMX-UHFFFAOYSA-N
Alisertib,COc1cccc(c1C2=NCc3cnc(nc3-c4c2cc(cc4)Cl)Nc5ccc(c(c5)OC)C(=O)O)F,ZLHFILGSQDJULK-UHFFFAOYSA-N
Allitinib,C=CC(=O)Nc1ccc2c(c1)c(ncn2)Nc3ccc(c(c3)Cl)OCc4cccc(c4)F,MVZGYPSXNDCANY-UHFFFAOYSA-N
Alpelisib,Cc1c(sc(n1)NC(=O)N2CCC[C@H]2C(=O)N)c3ccnc(c3)C(C)(C)C(F)(F)F,STUWGJZDJHPWGZ-LBPRGKRZSA-N
Altiratinib,c1cc(ccc1NC(=O)C2(CC2)C(=O)Nc3cc(c(cc3F)Oc4ccnc(c4)NC(=O)C5CC5)F)F,GNNDEPIMDAZHRQ-UHFFFAOYSA-N
Alvocidib,CN1CC[C@@H]([C@@H](C1)O)c2c(cc(c3c2oc(cc3=O)c4ccccc4Cl)O)O,BIIVYFLTOXDAOV-YVEFUNNKSA-N
Amcasertib,CCN(CC)CCNC(=O)c1c(c([nH]c1C)/C=C\2/c3cc(ccc3NC2=O)c4csc(n4)c5ccccc5)C,QDWKGEFGLQMDAM-ULJHMMPZSA-N
Amuvatinib,c1ccc2c(c1)c3c(o2)c(ncn3)N4CCN(CC4)C(=S)NCc5ccc6c(c5)OCO6,FOFDIMHVKGYHRU-UHFFFAOYSA-N
Anlotinib,Cc1cc2c([nH]1)ccc(c2F)Oc3ccnc4c3cc(c(c4)OCC5(CC5)N)OC,KSMZEXLVHXZPEF-UHFFFAOYSA-N
Apatinib,N#CC1(CCCC1)c1ccc(cc1)NC(=O)c1cccnc1Nc1cnccc1C,MGZNERAVOCFMCU-UHFFFAOYSA-N
Apitolisib,Cc1c(sc2c1nc(nc2N3CCOCC3)c4cnc(nc4)N)CN5CCN(CC5)C(=O)[C@H](C)O,YOVVNQKCSKSHKT-HNNXBMFYSA-N
Asciminib,c1cc(ccc1NC(=O)c2cc(c(nc2)N3CC[C@H](C3)O)c4ccn[nH]4)OC(F)(F)Cl,VOVZXURTCKPRDQ-CQSZACIVSA-N
Avapritinib,C[C@](c1ccc(cc1)F)(c2cnc(nc2)N3CCN(CC3)c4c5cc(cn5ncn4)c6cnn(c6)C)N,DWYRIWUZIJHQKQ-SANMLTNESA-N
Axitinib,CNC(=O)c1ccccc1Sc2ccc3c(c2)[nH]nc3/C=C/c4ccccn4,RITAVMQDGBJQJZ-FMIVXFBMSA-N
Bafetinib,Cc1ccc(cc1Nc2nccc(n2)c3cncnc3)NC(=O)c4ccc(c(c4)C(F)(F)F)CN5CC[C@@H](C5)N(C)C,ZGBAJMQHJDFTQJ-DEOSSOPVSA-N
Balamapimod,Cn1ccnc1Sc2ccc(cc2Cl)Nc3c4cc(c(cc4ncc3C#N)N5CCC(CC5)N6CCCC6)OC,CVAKNHIXTWLGJO-UHFFFAOYSA-N
Barasertib,CCN(CCCOc1ccc2c(c1)ncnc2Nc3cc(n[nH]3)CC(=O)Nc4cccc(c4)F)CCOP(=O)(O)O,GBJVVSCPOBPEIT-UHFFFAOYSA-N
Baricitinib,CCS(=O)(=O)N1CC(C1)(CC#N)n2cc(cn2)c3c4cc[nH]c4ncn3,XUZMWHLSFXCVMG-UHFFFAOYSA-N
Bemcentinib,c1ccc-2c(c1)CCCc3c2nnc(c3)n4c(nc(n4)Nc5ccc6c(c5)CC[C@H](CC6)N7CCCC7)N,KXMZDGSRSGHMMK-VWLOTQADSA-N
Bentamapimod,N#CC(c1nc2ccccc2s1)c5nc(OCc3ccc(cc3)CN4CCOCC4)ncc5,XCPPIJCBCWUBNT-UHFFFAOYSA-N
Berzosertib,CC(C)S(=O)(=O)c1ccc(cc1)c2cnc(c(n2)c3cc(no3)c4ccc(cc4)CNC)N,JZCWLJDSIRUGIN-UHFFFAOYSA-N
Bimiralisib,c1c(c(c[nH]c1=N)c2nc(nc(n2)N3CCOCC3)N4CCOCC4)C(F)(F)F,ADGGYDAFIHSYFI-UHFFFAOYSA-N
Binimetinib,Cn1cnc2c1cc(c(c2F)Nc3ccc(cc3F)Br)C(=O)NOCCO,ACWZRVQXLIRSDF-UHFFFAOYSA-N
Bosutinib,CN1CCN(CC1)CCCOc2cc3c(cc2OC)c(c(cn3)C#N)Nc4cc(c(cc4Cl)Cl)OC,UBPYILGKFZZVDX-UHFFFAOYSA-N
Brigatinib,CN1CCN(CC1)C2CCN(CC2)c3ccc(c(c3)OC)Nc4ncc(c(n4)Nc5ccccc5P(=O)(C)C)Cl,AILRADAXUVEEIR-UHFFFAOYSA-N
Brivanib,Cc1cc2c([nH]1)ccc(c2F)Oc3c4c(c(cn4ncn3)OC[C@@H](C)O)C,WCWUXEGQKLTGDX-LLVKDONJSA-N
Buparlisib,c1c(c(cnc1N)c2cc(nc(n2)N3CCOCC3)N4CCOCC4)C(F)(F)F,CWHUFRVAEUJCEF-UHFFFAOYSA-N
Cabozantinib,COc1cc2c(ccnc2cc1OC)Oc3ccc(cc3)NC(=O)C4(CC4)C(=O)Nc5ccc(cc5)F,ONIQOQHATWINJY-UHFFFAOYSA-N
Canertinib,C=CC(=O)Nc1cc2c(cc1OCCCN3CCOCC3)ncnc2Nc4ccc(c(c4)Cl)F,OMZCMEYTWSXEPZ-UHFFFAOYSA-N
Capivasertib,c1cc(ccc1[C@H](CCO)NC(=O)C2(CCN(CC2)c3c4cc[nH]c4ncn3)N)Cl,JDUBGYFRJFOXQC-KRWDZBQOSA-N
Capmatinib,CNC(=O)c1ccc(cc1F)c2cnc3ncc(n3n2)Cc4ccc5c(c4)cccn5,LIOLIMKSCNQPLV-UHFFFAOYSA-N
Cediranib,Cc1cc2c([nH]1)ccc(c2F)Oc3c4cc(c(cc4ncn3)OCCCN5CCCC5)OC,XXJWYDDUDKYVKI-UHFFFAOYSA-N
Cenisertib,Cc1cc(ccc1N2CCN(CC2)C)Nc3ncc(c(n3)N[C@@H]4[C@@H]5C[C@H]([C@@H]4C(=O)N)C=C5)F,KSOVGRCOLZZTPF-QMKUDKLTSA-N
Ceralasertib,CC1COCCN1c2cc(nc(n2)c3cncc4c3cc[nH]4)C5(CC5)S(=N)(=O)C,DTTJKLNXNZAVSM-UHFFFAOYSA-N
Cerdulatinib,CCS(=O)(=O)N1CCN(CC1)c2ccc(cc2)Nc3ncc(c(n3)NC4CC4)C(=O)N,BGLPECHZZQDNCD-UHFFFAOYSA-N
Ceritinib,Cc1cc(c(cc1C2CCNCC2)OC(C)C)Nc3ncc(c(n3)Nc4ccccc4S(=O)(=O)C(C)C)Cl,VERWOWGGCGHDQE-UHFFFAOYSA-N
Cobimetinib,c1c(cc(c(c1)Nc2c(c(ccc2C(=O)N3C[C@@](C3)(O)[C@H]4NCCCC4)F)F)F)I,BSMCAPRUBJMWDF-KRWDZBQOSA-N
Copanlisib,COc1c(ccc2c1N=C(N3C2=NCC3)NC(=O)c4cnc(nc4)N)OCCCN5CCOCC5,PZBCKZWLPGJMAO-UHFFFAOYSA-N
Crenolanib,CC1(COC1)COc2ccc3c(c2)ncn3c4ccc5cccc(c5n4)N6CCC(CC6)N,DYNHJHQFHQTFTP-UHFFFAOYSA-N
Crizotinib,C[C@H](c1c(ccc(c1Cl)F)Cl)Oc2cc(cnc2N)c3cnn(c3)C4CCNCC4,KTEIFNKAUNYNJU-GFCCVEGCSA-N
Dabrafenib,CC(C)(C)c1nc(c(s1)c2ccnc(n2)N)c3cccc(c3F)NS(=O)(=O)c4c(cccc4F)F,BFSMGDJOXZAERB-UHFFFAOYSA-N
Dacomitinib,COc1cc2c(cc1NC(=O)/C=C/CN3CCCCC3)c(ncn2)Nc4ccc(c(c4)Cl)F,LVXJQMNHJWSHET-AATRIKPKSA-N
Dactolisib,CC(C)(C#N)c1ccc(cc1)n2c3c4cc(ccc4ncc3n(c2=O)C)c5cc6ccccc6nc5,JOGKUKXHTYWRGZ-UHFFFAOYSA-N
Danusertib,CN1CCN(CC1)c2ccc(cc2)C(=O)Nc3c4c([nH]n3)CN(C4)C(=O)[C@@H](c5ccccc5)OC,XKFTZKGMDDZMJI-HSZRJFAPSA-N
Dasatinib,Cc1cccc(c1NC(=O)c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)Cl,ZBNZXTGUTAYRHI-UHFFFAOYSA-N
Decernotinib,CC[C@](C)(C(=O)NCC(F)(F)F)Nc1ccnc(n1)c2c[nH]c3c2cccn3,ASUGUQWIHMTFJL-QGZVFWFLSA-N
Defactinib,CNC(=O)c1ccc(cc1)Nc2ncc(c(n2)NCc3c(nccn3)N(C)S(=O)(=O)C)C(F)(F)F,FWLMVFUGMHIOAA-UHFFFAOYSA-N
Derazantinib,COCCNCCc1cccc(c1)Nc2ncc3c(n2)-c4ccccc4[C@@H](C3)c5ccccc5F,KPJDVVCDVBFRMU-AREMUKBSSA-N
Dezapelisib,Cc1csc2n1c(=O)c(c(n2)[C@H](C)Nc3c4c([nH]cn4)ncn3)c5cccc(c5)F,RSIWALKZYXPAGW-NSHDSACASA-N
Dilmapimod,Cc1cc(ccc1c2c3ccc(=O)n(c3nc(n2)NC(CO)CO)c4c(cccc4F)F)F,ORVNHOYNEHYKJG-UHFFFAOYSA-N
Dinaciclib,CCc1cnn2c1nc(cc2NCc3ccc[n+](c3)[O-])N4CCCC[C@H]4CCO,PIMQWRZWLQKKBJ-SFHVURJKSA-N
Doramapimod,Cc1ccc(cc1)n2c(cc(n2)C(C)(C)C)NC(=O)Nc3ccc(c4c3cccc4)OCCN5CCOCC5,MVCOAUNKQVWQHZ-UHFFFAOYSA-N
Dovitinib,CN1CCN(CC1)c2ccc3c(c2)[nH]c(n3)c4c(c5c(cccc5F)[nH]c4=O)N,PIQCTGMSNWUMAF-UHFFFAOYSA-N
Duvelisib,C[C@@H](c1cc2cccc(c2c(=O)n1c3ccccc3)Cl)Nc4c5c([nH]cn5)ncn4,SJVQHLPISAIATJ-ZDUSSCGKSA-N
Encorafenib,C[C@@H](CNc1nccc(n1)c2cn(nc2c3cc(cc(c3F)NS(=O)(=O)C)Cl)C(C)C)NC(=O)OC,CMJCXYNUCSMDBY-ZDUSSCGKSA-N
Ensartinib,C[C@@H]1CN(C[C@@H](N1)C)C(=O)c2ccc(cc2)NC(=O)c3cc(c(nn3)N)O[C@H](C)c4c(ccc(c4Cl)F)Cl,GLYMPHUVMRFTFV-QLFBSQMISA-N
Entospletinib,c1cc(ccc1Nc2c3nccn3cc(n2)c4ccc5cn[nH]c5c4)N6CCOCC6,XSMSNFMDVXXHGJ-UHFFFAOYSA-N
Entrectinib,CN1CCN(CC1)c2ccc(c(c2)NC3CCOCC3)C(=O)Nc4c5cc(ccc5[nH]n4)Cc6cc(cc(c6)F)F,HAYYBYPASCDWEQ-UHFFFAOYSA-N
Enzastaurin,Cn1cc(c2c1cccc2)C3=C(C(=O)NC3=O)c4cn(c5c4cccc5)C6CCN(CC6)Cc7ccccn7,AXRCEOKUDYDWLF-UHFFFAOYSA-N
Erdafitinib,CC(C)NCCN(c1ccc2c(c1)nc(cn2)c3cnn(c3)C)c4cc(cc(c4)OC)OC,OLAHOMJCDNXHFI-UHFFFAOYSA-N
Erlotinib,COCCOc1cc2c(cc1OCCOC)ncnc2Nc3cccc(c3)C#C,AAKJLRGGTJKAMG-UHFFFAOYSA-N
Evobrutinib,C=CC(=O)N1CCC(CC1)CNc2c(c(ncn2)N)c3ccc(cc3)Oc4ccccc4,QUIWHXQETADMGN-UHFFFAOYSA-N
Famitinib,CCN(CC)CCN1CCc2c(c(c([nH]2)/C=C\3/c4cc(ccc4NC3=O)F)C)C1=O,GKEYKDOLBLYGRB-LGMDPLHJSA-N
Fasudil,c1cc2cnccc2c(c1)S(=O)(=O)N3CCCNCC3,NGOGFTYYXHNFQH-UHFFFAOYSA-N
Fedratinib,Cc1cnc(nc1Nc2cccc(c2)S(=O)(=O)NC(C)(C)C)Nc3ccc(cc3)OCCN4CCCC4,JOOXLOJCABQBSG-UHFFFAOYSA-N
Filgotinib,c1cc(n2c(c1)nc(n2)NC(=O)C3CC3)c4ccc(cc4)CN5CCS(=O)(=O)CC5,RIJLVEAXPNLDTC-UHFFFAOYSA-N
Flumatinib,Cc1c(cc(cn1)NC(=O)c2ccc(c(c2)C(F)(F)F)CN3CCN(CC3)C)Nc4nccc(n4)c5cccnc5,BJCJYEYYYGBROF-UHFFFAOYSA-N
Foretinib,COc1cc2c(ccnc2cc1OCCCN3CCOCC3)Oc4ccc(cc4F)NC(=O)C5(CC5)C(=O)Nc6ccc(cc6)F,CXQHYVUVSFXTMY-UHFFFAOYSA-N
Fostamatinib,CC1(C(=O)N(c2c(ccc(n2)Nc3c(cnc(n3)Nc4cc(c(c(c4)OC)OC)OC)F)O1)COP(=O)(O)O)C,GKDRMWXFWHEQQT-UHFFFAOYSA-N
Fruquintinib,Cc1c(c2ccc(cc2o1)Oc3c4cc(c(cc4ncn3)OC)OC)C(=O)NC,BALLNEJQLSTPIO-UHFFFAOYSA-N
Galunisertib,Cc1cccc(n1)c2c(c3n(n2)CCC3)c4ccnc5c4cc(cc5)C(=O)N,IVRXNBXKWIJUQB-UHFFFAOYSA-N
Gandotinib,Cc1cc(n[nH]1)Nc2cc(c3nc(c(n3n2)Cc4ccc(cc4F)Cl)C)CN5CCOCC5,SQSZANZGUXWJEA-UHFFFAOYSA-N
Gedatolisib,CN(C)C1CCN(CC1)C(=O)c2ccc(cc2)NC(=O)Nc3ccc(cc3)c4nc(nc(n4)N5CCOCC5)N6CCOCC6,DWZAEMINVBZMHQ-UHFFFAOYSA-N
Gefitinib,COc1cc2c(cc1OCCCN3CCOCC3)c(ncn2)Nc4ccc(c(c4)Cl)F,XGALLCVXEZPNRQ-UHFFFAOYSA-N
Gilteritinib,CCc1c(nc(c(n1)C(=O)N)Nc2ccc(c(c2)OC)N3CCC(CC3)N4CCN(CC4)C)NC5CCOCC5,GYQYAJJFPNQOOW-UHFFFAOYSA-N
Glesatinib,COCCNCc1ccc(nc1)c2cc3c(s2)c(ccn3)Oc4ccc(cc4F)NC(=S)NC(=O)Cc5ccc(cc5)F,YRCHYHRCBXNYNU-UHFFFAOYSA-N
Golvatinib,CN1CCN(CC1)C2CCN(CC2)C(=O)Nc3cc(ccn3)Oc4ccc(c(c4)F)NC(=O)C5(CC5)C(=O)Nc6ccc(cc6)F,UQRCJCNVNUFYDX-UHFFFAOYSA-N
Henatinib,Cc1c([nH]c2c1C(=O)N(CCC2)C[C@@H](CN3CCOCC3)O)/C=C\4/c5cc(ccc5NC4=O)F,MCTXSDCWFQAGFS-UEXNTNOUSA-N
Ibrutinib,C=CC(=O)N1CCC[C@H](C1)n2c3c(c(n2)c4ccc(cc4)Oc5ccccc5)c(ncn3)N,XYFPWWZEPKGCCK-GOSISDBHSA-N
Icotinib,C#Cc1cccc(c1)Nc2c3cc4c(cc3ncn2)OCCOCCOCCO4,QQLKULDARVNMAL-UHFFFAOYSA-N
Idelalisib,CC[C@@H](c1nc2cccc(c2c(=O)n1c3ccccc3)F)Nc4c5c([nH]cn5)ncn4,IFSDAJWBUCMOAH-HNNXBMFYSA-N
Ilorasertib,c1cc(cc(c1)F)NC(=O)Nc2ccc(cc2)c3csc4c3c(ncc4c5cnn(c5)CCO)N,WPHKIQPVPYJNAX-UHFFFAOYSA-N
Imatinib,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)c4ccc(cc4)CN5CCN(CC5)C,KTUFNOKKBVMGRW-UHFFFAOYSA-N
Infigratinib,CCN1CCN(CC1)c2ccc(cc2)Nc3cc(ncn3)N(C)C(=O)Nc4c(c(cc(c4Cl)OC)OC)Cl,QADPYRIHXKWUSV-UHFFFAOYSA-N
Ipatasertib,C[C@@H]1C[C@H](c2c1c(ncn2)N3CCN(CC3)C(=O)[C@H](CNC(C)C)c4ccc(cc4)Cl)O,GRZXWCHAXNAUHY-NSISKUIASA-N
Itacitinib,c1cnc-2[nH]cnc(c12)c3cnn(c3)C4(CN(C4)C5CCN(CC5)C(=O)c6ccnc(c6F)C(F)(F)F)CC#N,KTBSXLIQKWEBRB-UHFFFAOYSA-N
Lapatinib,CS(=O)(=O)CCNCc1ccc(o1)c2ccc3c(c2)c(ncn3)Nc4ccc(c(c4)Cl)OCc5cccc(c5)F,BCFGMOOMADDAQU-UHFFFAOYSA-N
Larotrectinib,c1cc(c(cc1F)[C@H]2CCCN2c3ccn4c(n3)c(cn4)NC(=O)N5CC[C@@H](C5)O)F,NYNZQNWKBKUAII-KBXCAEBGSA-N
Lazertinib,CN(C)Cc1cn(nc1c2ccccc2)c3ccnc(n3)Nc4cc(c(cc4OC)N5CCOCC5)NC(=O)C=C,RRMJMHOQSALEJJ-UHFFFAOYSA-N
Leniolisib,CCC(=O)N1CC[C@@H](C1)Nc2c3c(ncn2)CCN(C3)c4cc(c(nc4)OC)C(F)(F)F,MWKYMZXCGYXLPL-ZDUSSCGKSA-N
Lenvatinib,COc1cc2c(cc1C(=O)N)c(ccn2)Oc3ccc(c(c3)Cl)NC(=O)NC4CC4,WOSKHXYHFSIKNG-UHFFFAOYSA-N
Lestaurtinib,C[C@@]12[C@](C[C@@H](O1)n3c4ccccc4c5c3c6n2c7ccccc7c6c8c5C(=O)NC8)(CO)O,UIARLYUEJFELEN-LROUJFHJSA-N
Linifanib,Cc1ccc(c(c1)NC(=O)Nc2ccc(cc2)c3cccc4c3c(n[nH]4)N)F,MPVGZUGXCQEXTM-UHFFFAOYSA-N
Linsitinib,C[C@]1(C[C@@H](C1)c2n3c(c(ncc3)N)c(n2)c4cc5nc(ccc5cc4)c6ccccc6)O,PKCDDUHJAFVJJB-VLZXCDOPSA-N
Lorlatinib,C[C@@H]1c2cc(ccc2C(=O)N(Cc3c(c(n(n3)C)C#N)-c4cc(c(nc4)N)O1)C)F,IIXWYSCJSQVBQM-LLVKDONJSA-N
Losmapimod,Cc1c(cc(cc1F)C(=O)NC2CC2)c3ccc(cn3)C(=O)NCC(C)(C)C,KKYABQBFGDZVNQ-UHFFFAOYSA-N
Lucitanib,CNC(=O)c1cccc2c1ccc(c2)Oc3ccnc4c3cc(c(c4)OCC5(CC5)N)OC,CUDVHEFYRIWYQD-UHFFFAOYSA-N
Masitinib,Cc1ccc(cc1Nc2nc(cs2)c3cccnc3)NC(=O)c4ccc(cc4)CN5CCN(CC5)C,WJEOLQLKVOPQFV-UHFFFAOYSA-N
Mavelertinib,Cn1cc(c(n1)OC)Nc2c3c(nc(n2)N4C[C@H]([C@@H](C4)F)NC(=O)C=C)n(cn3)C,JYIUNVOCEFIUIU-GHMZBOCLSA-N
Merestinib,Cc1ccc(c(=O)n1c2ccc(cc2)F)C(=O)Nc3ccc(c(c3)F)Oc4cc5cnn(c5cc4c6c[nH]nc6)C,QHADVLVFMKEIIP-UHFFFAOYSA-N
