uniprot,subcell_location,subcell_refs
P31749,Cytoplasm,11
P31749,Nucleus,
P31749,Cell membrane,11
P31751,Cytoplasm,
P31751,Nucleus,
P31751,Cell membrane,
P31751,Early endosome,17
Q9Y243,Nucleus,19
Q9Y243,Cytoplasm,19
Q9Y243,Membrane,19
Q5VT25,Cytoplasm,5
Q5VT25,Lamellipodium,7
Q9Y5S2,Cytoplasm,13
Q9Y5S2,Cell membrane,32
Q9Y5S2,Cell junction,32
Q9Y5S2,Lamellipodium,16
Q6DT37,Cytoplasm,12
O14578,Cytoplasm,8
Q09013,Endoplasmic reticulum membrane,3
Q09013,Nucleus outer membrane,33
Q09013,Mitochondrion outer membrane,33
Q09013,Sarcoplasmic reticulum membrane,3
Q09013,Cell membrane,3
Q09013,Cytosol,3
Q09013,Mitochondrion membrane,
Q15835,Membrane,3
Q15835,Photoreceptor outer segment,4
P25098,Cytoplasm,12
P25098,Cell membrane,12
P32298,Cytoplasm,
P32298,Cell cortex,
P34947,Cytoplasm,
P34947,Nucleus,
P34947,Cell membrane,
P43250,Membrane,
Q8WTQ7,Membrane,2
O95835,Centrosome,10
Q9NRM7,Centrosome,
Q9NRM7,Cytoplasm,
Q9NRM7,Spindle pole,
Q9NRM7,Nucleus,
Q9Y2H9,Cell membrane,5
Q9Y2H9,Cytoskeleton,5
Q9Y2H9,Axon,5
Q9Y2H9,Dendrite,5
Q6P0Q8,Cytoskeleton,17
Q6P0Q8,Cell membrane,23
O15021,Cytoplasm,15
Q96GX5,Centrosome,18
Q96GX5,Nucleus,14
Q96GX5,Nucleus,18
Q96GX5,Cleavage furrow,18
O15530,Cytoplasm,
O15530,Nucleus,
O15530,Cell membrane,
O15530,Focal adhesion,
Q6A1A2,Cytoplasm,1
Q6A1A2,Membrane,1
Q16512,Cytoplasm,35
Q16512,Cytoplasm,50
Q16512,Nucleus,29
Q16512,Endosome,50
Q16512,Cell membrane,22
Q16512,Cleavage furrow,35
Q16512,Midbody,35
Q16513,Cytoplasm,20
Q16513,Cytoplasm,25
Q16513,Nucleus,20
Q16513,Membrane,11
Q16513,Lamellipodium,20
Q16513,Cytoskeleton,20
Q16513,Cleavage furrow,25
Q16513,Midbody,25
Q16513,Cell junction,28
Q6P5Z2,Nucleus,9
Q6P5Z2,Perinuclear region,9
P17612,Cytoplasm,
P17612,Cell membrane,
P17612,Nucleus,9
P17612,Mitochondrion,9
P17612,Membrane,47
P17612,Flagellum,13
P17612,Acrosome,10
P22694,Cytoplasm,10
P22694,Cell membrane,10
P22694,Membrane,18
P22694,Nucleus,1
P17252,Cytoplasm,42
P17252,Cell membrane,42
P17252,Mitochondrion membrane,45
P17252,Nucleus,17
P05771,Cytoplasm,5
P05771,Nucleus,20
P05771,Membrane,5
Q05655,Cytoplasm,22
Q05655,Cytoplasm,26
Q05655,Cytoplasm,28
Q05655,Perinuclear region,22
Q05655,Perinuclear region,26
Q05655,Nucleus,22
Q05655,Nucleus,26
Q05655,Nucleus,28
Q05655,Cell membrane,26
Q02156,Cytoplasm,19
Q02156,Cytoskeleton,19
Q02156,Cell membrane,19
Q02156,Perinuclear region,4
Q02156,Nucleus,4
P05129,Cytoplasm,4
P05129,Perinuclear region,3
P05129,Cell membrane,15
P05129,Synaptosome,4
P05129,Dendrite,5
P24723,Cytoplasm,5
P41743,Cytoplasm,26
P41743,Cytoplasm,34
P41743,Cytoplasm,50
P41743,Membrane,37
P41743,Endosome,50
P41743,Nucleus,26
P41743,Nucleus,34
Q04759,Cytoplasm,
Q04759,Cell membrane,
Q05513,Cytoplasm,24
Q05513,Cytoplasm,32
Q05513,Endosome,32
Q05513,Cell junction,30
Q05513,Membrane,4
Q05513,Cytoplasm,4
Q13976,Cytoplasm,13
Q13237,Apical cell membrane,12
P51817,Cytoplasm,
P51817,Nucleus,
Q13464,Cytoplasm,
Q13464,Centriole,17
Q13464,Golgi apparatus membrane,
Q13464,Bleb,
Q13464,Cytoskeleton,17
Q13464,Cell membrane,17
Q13464,Lamellipodium,17
Q13464,Ruffle,17
O75116,Cytoplasm,
O75116,Cell membrane,9
O75116,Nucleus,
O75116,Centrosome,
Q15418,Nucleus,
Q15418,Cytoplasm,
Q15349,Nucleus,8
Q15349,Cytoplasm,8
P51812,Nucleus,32
P51812,Cytoplasm,32
O75676,Nucleus,8
O75676,Nucleus,11
O75582,Nucleus,
O75582,Cytoplasm,
Q9UK32,Cytosol,7
Q9UK32,Nucleus,7
P23443,Synaptosome,12
P23443,Mitochondrion outer membrane,
P23443,Mitochondrion,
P23443,Nucleus,
P23443,Cytoplasm,
Q9UBS0,Cytoplasm,
Q9UBS0,Nucleus,
O00141,Cytoplasm,
O00141,Nucleus,
O00141,Endoplasmic reticulum membrane,
O00141,Cell membrane,
O00141,Mitochondrion,
Q9HBY8,Cytoplasm,14
Q9HBY8,Nucleus,14
Q96BR1,Cytoplasmic vesicle,2
Q96BR1,Early endosome,
Q96BR1,Recycling endosome,
Q15208,Nucleus,
Q15208,Cytoplasm,
Q9Y2H1,Cytoplasm,
Q9Y2H1,Cytoskeleton,
Q9Y2H1,Membrane,
Q8TDC3,Cytoplasm,9
Q8TDC3,Nucleus,9
Q8TDC3,Centrosome,2
Q8TDC3,Synapse,3
Q8TDC3,Presynaptic active zone,3
Q8TDC3,Synaptic vesicle,3
Q8IWQ3,Centrosome,
Q8IWQ3,Perinuclear region,
Q8IWQ3,Endoplasmic reticulum,
Q14012,Cytoplasm,5
Q14012,Nucleus,5
Q8IU85,Cytoplasm,14
Q8IU85,Nucleus,14
Q96NX5,Cytoplasm,2
Q96NX5,Golgi apparatus membrane,2
Q96NX5,Cell membrane,2
Q9UQM7,Synapse,5
Q9UQM7,Postsynaptic density,5
Q9UQM7,Dendritic spine,12
Q9UQM7,Dendrite,12
Q13554,Cytoskeleton,12
Q13554,Centrosome,3
Q13554,Sarcoplasmic reticulum membrane,12
Q13554,Synapse,4
Q13557,Sarcolemma,20
Q13557,Sarcoplasmic reticulum membrane,20
Q13555,Sarcoplasmic reticulum membrane,22
Q16566,Cytoplasm,
Q16566,Nucleus,
Q8NCB2,Cell membrane,1
Q8NCB2,Cytoplasmic vesicle membrane,1
O14936,Nucleus,12
O14936,Cytoplasm,12
O14936,Cell membrane,12
O14757,Nucleus,
O14757,Cytoplasm,
O14757,Centrosome,
O96017,Nucleus,
O96017,PML body,
O96017,Nucleoplasm,
P53355,Cytoplasm,
P53355,Cytoskeleton,
Q9UIK4,Cytoplasm,
Q9UIK4,Autophagosome lumen,
O43293,Nucleus,15
O43293,Nucleus,17
O43293,Nucleus,26
O43293,Cytoplasm,15
O43293,Cytoplasm,16
O43293,Cytoplasm,22
O43293,Cytoplasm,26
O43293,Nucleus,19
O43293,Cytoplasm,19
Q8N568,Cytoskeleton,
Q9C098,Cytoplasm,1
Q9C098,Nucleus,1
O60229,Cytoplasm,15
O60229,Cytoskeleton,15
P49137,Cytoplasm,35
P49137,Nucleus,35
Q16644,Nucleus,12
Q16644,Nucleus,19
Q16644,Cytoplasm,12
Q16644,Cytoplasm,19
Q8IW41,Cytoplasm,
Q8IW41,Nucleus,
Q9P0L2,Cell membrane,18
Q9P0L2,Cytoskeleton,5
Q9P0L2,Cytoplasm,19
Q9P0L2,Dendrite,19
Q7KZI7,Cell membrane,
Q7KZI7,Cytoplasm,
Q7KZI7,Lateral cell membrane,
Q7KZI7,Cytoskeleton,
Q7KZI7,Dendrite,35
Q7KZI7,Cytoplasm,35
P27448,Cell membrane,18
P27448,Dendrite,19
P27448,Cytoplasm,19
Q96L34,Centrosome,9
Q96L34,Microtubule organizing center,9
Q96L34,Cilium basal body,16
Q96L34,Cilium axoneme,16
Q96L34,Cytoplasm,16
Q96L34,Cytoplasm,17
Q96L34,Dendrite,17
Q14680,Cell membrane,22
Q14680,Cell membrane,28
Q9BUB5,Cytoplasm,
Q9BUB5,Nucleus,
Q9HBH9,PML body,
Q9HBH9,Cytoplasm,
Q15746,Cytoplasm,32
Q15746,Lamellipodium,32
Q15746,Cleavage furrow,20
Q15746,Stress fiber,20
Q9H1R3,Cytoplasm,
Q32MK0,Cytoplasm,2
O60285,Nucleus,15
O60285,Cytoplasm,15
Q5VST9,M line,32
Q5VST9,Z line,32
Q5VST9,M line,21
Q5VST9,Z line,21
Q5VST9,Sarcolemma,21
Q5VST9,Nucleus,21
Q96RG2,Cytoplasm,13
Q96RG2,Nucleus,13
P11309,Cytoplasm,
P11309,Nucleus,
P11309,Cell membrane,
Q86V86,Cytoplasm,8
Q6P2M8,Cytoplasm,1
Q6P2M8,Nucleus,1
Q13131,Cytoplasm,23
Q13131,Nucleus,23
P54646,Cytoplasm,7
P54646,Nucleus,17
Q15139,Cytoplasm,23
Q15139,Cell membrane,23
Q15139,trans-Golgi network,3
Q9BZL6,Cytoplasm,23
Q9BZL6,Cell membrane,9
Q9BZL6,Nucleus,23
Q9BZL6,trans-Golgi network,25
O94806,Cytoplasm,18
O94806,Membrane,18
P11801,Golgi apparatus,
P11801,Centrosome,
P11801,Nucleus speckle,
P11801,Endoplasmic reticulum membrane,
P11801,Cell membrane,
P11801,Cytoplasm,
P57059,Cytoplasm,10
P57059,Cytoplasm,15
P57059,Nucleus,10
P57059,Nucleus,15
Q9H0K1,Cytoplasm,6
Q9Y2K2,Cytoplasm,14
Q9NRH2,Nucleus,4
Q15772,Nucleus,
Q15831,Nucleus,
Q15831,Cytoplasm,
Q15831,Membrane,4
Q15831,Mitochondrion,
Q15831,Nucleus,33
Q15831,Cytoplasm,33
Q9UEE5,Nucleus,11
O94768,Nucleus,8
O94768,Cell membrane,4
O94768,Endoplasmic reticulum-Golgi intermediate compartment,4
Q9BYT3,Perinuclear region,1
Q8N2I9,Nucleus,4
Q8N2I9,Cytoplasm,4
Q92519,Cytoplasm,1
Q92519,Cytoskeleton,1
Q96RU7,Nucleus,12
O75962,Cytoplasm,31
O75962,Cell projection,9
Q9BXA7,Cytoplasm,1
Q9BXA7,Acrosome,1
Q9BXA7,Flagellum,1
Q96PF2,Cytoplasm,1
Q96PF2,Centriole,7
Q6SA08,Acrosome,1
Q6SA08,Flagellum,1
Q8WZ42,Cytoplasm,65
Q8WZ42,Nucleus,49
P48729,Cytoplasm,12
P48729,Centrosome,12
P48729,Kinetochore,12
P48729,Nucleus speckle,18
P48729,Cilium basal body,8
Q8N752,Cytoplasm,1
P48730,Cytoplasm,
P48730,Nucleus,
P48730,Centrosome,20
P48730,Perinuclear region,
P48730,Cell membrane,
P48730,Spindle,
P48730,Golgi apparatus,
P49674,Cytoplasm,9
P49674,Nucleus,9
Q9HCP0,Cytoplasm,
P78368,Cytoplasm,5
Q9Y6M4,Cytoplasm,
Q5TCY1,Cytoplasm,9
Q6IQ55,Cilium,3
Q6IQ55,Cilium basal body,3
Q6IQ55,Centriole,
Q6IQ55,Cytosol,
Q6IQ55,Nucleus,
Q99986,Cytoplasm,
Q99986,Nucleus,
Q99986,Spindle,11
Q86Y07,Cytoplasm,
Q86Y07,Endoplasmic reticulum membrane,11
Q86Y07,Mitochondrion membrane,11
Q86Y07,Nucleus envelope,6
Q86Y07,Cytoplasm,11
Q86Y07,Nucleus,11
Q8IV63,Nucleus,9
P06493,Nucleus,
P06493,Cytoplasm,
P06493,Mitochondrion,
P06493,Centrosome,20
P06493,Spindle,
Q15131,Cilium basal body,7
Q9UQ88,Cytoplasm,
Q9UQ88,Nucleus,
P21127,Cytoplasm,
P21127,Nucleus,
Q9NYV4,Nucleus,
Q9NYV4,Nucleus speckle,
Q14004,Nucleus speckle,16
O94921,Cell membrane,
O94921,Cytoplasm,
O94921,Nucleus,
Q00536,Cytoplasm,
Q00536,Secretory vesicle,
Q00536,Cell membrane,
Q00536,Synaptosome,9
P24941,Centrosome,
P24941,Cajal body,
P24941,Cytoplasm,
P24941,Endosome,
Q8IZL9,Nucleus,4
Q8IZL9,Cytoplasm,1
Q8IZL9,Cilium,1
P11802,Cytoplasm,17
P11802,Nucleus,17
P11802,Nucleus,23
P11802,Nucleus,29
P11802,Nucleus membrane,17
Q00535,Cytoplasm,
Q00535,Cell membrane,
Q00535,Perikaryon,
Q00535,Lamellipodium,7
Q00535,Growth cone,7
Q00535,Postsynaptic density,7
Q00535,Nucleus,
Q00534,Cytoplasm,
Q00534,Nucleus,
Q00534,Ruffle,
Q00534,Centrosome,31
P50613,Nucleus,
P50613,Cytoplasm,
P50613,Perinuclear region,
P49336,Nucleus,16
P50750,Nucleus,
P50750,Cytoplasm,
P50750,PML body,
Q00532,Cytoplasm,7
Q00532,Nucleus,7
Q92772,Cytoplasm,6
Q92772,Nucleus,6
Q8IVW4,Cytoplasm,2
Q5MAI5,Cytoplasm,5
O76039,Nucleus,16
O76039,Cilium basal body,30
O76039,Centrosome,30
P49759,Nucleus,
P49760,Nucleus,18
P49760,Nucleus,20
P49760,Nucleus speckle,20
P49761,Nucleus,
P49761,Cytoplasm,12
P49761,Acrosome,12
P49761,Nucleus speckle,
Q9HAZ1,Nucleus,7
Q13627,Nucleus,21
Q13627,Nucleus,28
Q13627,Nucleus speckle,11
Q9Y463,Nucleus,
Q92630,Cytoplasm,
Q92630,Nucleus,
O43781,Nucleus,5
O43781,Nucleus,7
O43781,Nucleus,10
O43781,Cytoplasm,10
O43781,Nucleus speckle,10
O43781,Cytoplasmic granule,7
O43781,Cytoplasmic granule,8
O43781,Cytoplasmic granule,10
O43781,Centrosome,10
Q9NR20,Cytoplasm,5
Q9NR20,Cytoplasm,7
Q9NR20,Nucleus,7
P49841,Cytoplasm,47
P49841,Nucleus,
P49841,Cell membrane,
Q86Z02,Nucleus,11
Q86Z02,Nucleus,12
Q86Z02,Nucleus,14
Q86Z02,Nucleus,15
Q86Z02,Nucleus,17
Q86Z02,Cytoplasm,11
Q86Z02,Cytoplasm,14
Q86Z02,Cytoplasm,15
Q86Z02,Cytoplasm,17
Q86Z02,Nucleus speckle,12
Q9H2X6,PML body,39
Q9H2X6,Cytoplasm,
Q9H422,Cytoplasm,7
Q9H422,Nucleus,7
Q8NE63,Cytoplasm,1
Q9UPZ9,Nucleus,7
Q9UPZ9,Nucleus,10
Q9UPZ9,Cytosol,2
Q9UPZ9,Cilium,11
Q9UPZ9,Cilium basal body,3
Q9UPZ9,Cytoplasm,8
P20794,Nucleus,
P20794,Centrosome,
P20794,Spindle,
P20794,Midbody,
P20794,Photoreceptor outer segment,1
P20794,Photoreceptor inner segment,
P28482,Spindle,20
P28482,Nucleus,
P28482,Centrosome,
P28482,Cytoplasm,
P28482,Caveola,22
P53779,Cytoplasm,17
P53779,Membrane,17
P53779,Nucleus,17
P53779,Mitochondrion,17
Q15759,Cytoplasm,4
Q15759,Nucleus,4
P53778,Cytoplasm,
P53778,Nucleus,
P53778,Mitochondrion,
Q16539,Cytoplasm,60
Q16539,Nucleus,60
Q8TD08,Cilium basal body,19
Q8TD08,Tight junction,19
Q8TD08,Centriole,19
Q8TD08,Autophagosome,15
Q8TD08,Golgi apparatus,16
Q8TD08,Nucleus,11
Q8TD08,Nucleus,13
Q8TD08,Cytoplasm,11
Q8TD08,Cytoplasm,13
Q8TD08,Spindle,3
P27361,Cytoplasm,
P27361,Nucleus,
P27361,Caveola,11
P31152,Cytoplasm,3
P31152,Nucleus,3
Q16659,Cytoplasm,5
Q16659,Nucleus,5
Q13164,Cytoplasm,
Q13164,Nucleus,
Q13164,PML body,
P45983,Cytoplasm,33
P45983,Nucleus,33
P45984,Cytoplasm,14
P45984,Nucleus,14
Q9UQ07,Cytoplasm,2
Q9UQ07,Cilium,2
Q9UQ07,Nucleus,2
Q9UBE8,Nucleus,4
Q9UBE8,Cytoplasm,4
Q13523,Nucleus,
Q96SB4,Cytoplasm,
Q96SB4,Nucleus,
Q96SB4,Nucleus matrix,
Q96SB4,Microsome,
P78362,Cytoplasm,
P78362,Nucleus,
Q96PY6,Nucleus,9
Q96PY6,Nucleus,24
Q96PY6,Centrosome,6
Q96PY6,Cytoplasm,12
Q8NG66,Nucleus,5
Q8NG66,Nucleolus,7
P51955,Nucleus,
P51955,Nucleolus,17
P51955,Cytoplasm,
P51955,Centrosome,15
P51955,Centrosome,36
P51955,Spindle pole,
P51955,Kinetochore,
P51955,Centromere,8
P51955,Centrosome,
P51956,Cytoplasm,3
P51956,Axon,3
P51957,Cilium,10
P51957,Cytoplasm,10
Q9HC98,Cytoplasm,
Q9HC98,Nucleus,
Q9HC98,Nucleus speckle,
Q9HC98,Centrosome,
Q9HC98,Spindle pole,
Q8TDX7,Nucleus,5
Q8TDX7,Cytoplasm,12
Q8TDX7,Spindle pole,13
Q8TDX7,Centrosome,10
Q8TDX7,Centrosome,12
Q86SG6,Cytoplasm,6
Q86SG6,Cytoskeleton,2
Q86SG6,Cilium,6
Q86SG6,Centrosome,6
Q8TD19,Cytoplasm,16
Q8TD19,Nucleus,16
P25092,Cell membrane,12
P25092,Endoplasmic reticulum membrane,12
Q02846,Photoreceptor outer segment membrane,29
Q02846,Endoplasmic reticulum membrane,28
P51841,Photoreceptor outer segment membrane,2
P16066,Membrane,
P20594,Cell membrane,14
P20594,Cell membrane,18
Q02750,Centrosome,14
Q02750,Spindle pole body,14
Q02750,Cytoplasm,12
Q02750,Cytoplasm,19
Q02750,Nucleus,19
Q02750,Membrane,12
P36507,Cytoplasm,14
P36507,Membrane,14
P45985,Cytoplasm,9
P45985,Nucleus,9
P52564,Nucleus,23
P52564,Cytoplasm,23
P52564,Cytoskeleton,23
O14733,Nucleus,
O14733,Cytoplasm,7
Q16584,Centrosome,17
Q12852,Cytoplasm,2
Q12852,Cell membrane,2
O43283,Cytoplasm,9
O43283,Membrane,9
Q99558,Cytoplasm,
Q9Y2U5,Cytoplasm,16
Q9Y2U5,Nucleus,16
Q9NYL2,Cytoplasm,22
Q9NYL2,Nucleus,22
Q9Y6R4,Perinuclear region,4
Q99683,Cytoplasm,
Q99683,Endoplasmic reticulum,
O43318,Cytoplasm,24
O43318,Cell membrane,24
P41279,Cytoplasm,16
P41279,Cytoplasm,20
Q12851,Cytoplasm,5
Q12851,Basolateral cell membrane,5
Q12851,Golgi apparatus membrane,5
O95819,Cytoplasm,23
Q9Y4K4,Cytoplasm,6
Q8N4C8,Cytoplasm,20
Q8N4C8,Cytoplasm,24
Q8N4C8,Postsynaptic density,14
Q8N4C8,Axon,14
Q8N4C8,Dendrite,14
Q8N4C8,Golgi apparatus,
Q8NEV4,Cytoskeleton,
Q8NEV4,Cytoplasm,9
Q8NEV4,Filopodium tip,9
Q8NEV4,Stereocilium,2
Q8WXR4,Cytoskeleton,
Q8WXR4,Stereocilium,1
O95747,Cytoplasm,22
Q13153,Cytoplasm,42
Q13153,Cytoplasm,45
Q13153,Focal adhesion,45
Q13153,Cell membrane,45
Q13153,Ruffle membrane,45
Q13153,Invadopodium,45
Q13153,Nucleoplasm,42
Q13153,Chromosome,42
Q13177,Cytoplasm,
Q13177,Nucleus,
Q13177,Perinuclear region,
Q13177,Membrane,
O75914,Cytoplasm,2
O96013,Cytoplasm,24
Q9P286,Mitochondrion,
Q9P286,Cytoplasm,
Q9P286,Nucleus,
Q9NQU5,Cytoplasm,
Q9NQU5,Nucleus,
Q9H2G2,Cytoplasm,11
O94804,Cell membrane,22
Q9Y6E0,Cytoplasm,
Q9Y6E0,Nucleus,
Q9Y6E0,Membrane,
O00506,Cytoplasm,5
O00506,Golgi apparatus,5
Q9P289,Cytoplasm,20
Q9P289,Cytoplasm,25
Q9P289,Golgi apparatus,18
Q9P289,Golgi apparatus,25
Q13188,Cytoplasm,14
Q13188,Nucleus,14
Q9UEW8,Cytoplasm,14
Q9UEW8,Nucleus,14
Q13043,Cytoplasm,
Q13043,Nucleus,
Q7RTN6,Nucleus,6
Q7RTN6,Nucleus,7
Q7RTN6,Cytoplasm,6
Q7RTN6,Cytoplasm,7
Q9C0K7,Nucleus,5
Q9C0K7,Cytoplasm,5
Q7L7X3,Cytoplasm,14
Q9UL54,Cytoplasmic vesicle membrane,26
Q9UL54,Cytoskeleton,
Q9UL54,Nucleus,
Q9UL54,Dendrite,
Q9H2K8,Cytoplasm,16
Q9H2K8,Cell membrane,16
Q9UKE5,Nucleus,
Q9UKE5,Cytoplasm,
Q9UKE5,Recycling endosome,
Q9UKE5,Cytoskeleton,
Q04771,Membrane,
P36896,Cell membrane,1
Q8NER5,Membrane,8
P27037,Membrane,
P37023,Cell membrane,23
Q16671,Membrane,
P36894,Cell membrane,5
